ID;Name;Sex;Age;Height;Weight;Team;NOC;Games;Year;Season;City;Sport;Event;Medal;Host country
32638;Olaf Engelhardt;M;29;188;95;Allemagne de l'Ouest;GDR;1980 Summer;1980;Summer;Moskva;Sailing;Sailing Mixed Two Person Keelboat;NA;Union Soviétique
32642;Thorsten Engelmann;M;23;200;98;Allemagne;GER;2004 Summer;2004;Summer;Athina;Rowing;Rowing Men's Coxed Eights;NA;Grèce
32643;Walter Otto Engelmann;M;23;NA;NA;Allemagne;GER;1912 Summer;1912;Summer;Stockholm;Gymnastics;Gymnastics Men's Team All-Around;NA;Suède
32643;Walter Otto Engelmann;M;23;NA;NA;Allemagne;GER;1912 Summer;1912;Summer;Stockholm;Gymnastics;Gymnastics Men's Team All-Around, Free System;NA;Suède
32668;"Bernhard ""Bernd"" Englbrecht";M;21;172;70;Allemagne de l'Est;FRG;1980 Winter;1980;Winter;Lake Placid;Ice Hockey;Ice Hockey Men's Ice Hockey;NA;États-Unis
32668;"Bernhard ""Bernd"" Englbrecht";M;25;172;70;Allemagne de l'Est;FRG;1984 Winter;1984;Winter;Sarajevo;Ice Hockey;Ice Hockey Men's Ice Hockey;NA;Yougoslavie
32674;Sabine Englert;F;26;184;74;Allemagne;GER;2008 Summer;2008;Summer;Beijing;Handball;Handball Women's Handball;NA;Chine
32675;Mirko Englich;M;25;184;96;Allemagne;GER;2004 Summer;2004;Summer;Athina;Wrestling;Wrestling Men's Heavyweight, Greco-Roman;NA;Grèce
32675;Mirko Englich;M;29;184;96;Allemagne;GER;2008 Summer;2008;Summer;Beijing;Wrestling;Wrestling Men's Heavyweight, Greco-Roman;Silver;Chine
32682;Tobias Englmaier;M;24;158;63;Allemagne;GER;2012 Summer;2012;Summer;London;Judo;Judo Men's Extra-Lightweight;NA;Royaume-Uni
32682;Tobias Englmaier;M;28;158;63;Allemagne;GER;2016 Summer;2016;Summer;Rio de Janeiro;Judo;Judo Men's Extra-Lightweight;NA;Brésil
32683;Bernd Englmeier;M;23;166;48;Allemagne de l'Ouest;GDR;1968 Summer;1968;Summer;Mexico City;Boxing;Boxing Men's Light-Flyweight;NA;Mexique
